source,detention_facility_code,name,address_full,address,city,state,latitude,longitude,zip,n_codings
team-geocoding,WVNCENT,North Central Regional Jail,"1 Lois Lane, Greenwood, WV 26415",#1 Lois Lane,Greenwood,WV,39.28078206,-80.85362371,26415,2
team-geocoding,MONTGTX,Montgomery County Jail,"1 Criminal Justice Dr, Conroe, TX 77301",1 Criminal Justice Dr,Conroe,TX,30.33538411,-95.45239176,77301,2
team-geocoding,SPMHOLD,Bishop Henry Whipple Federal Bldg,"1 Federal Drive, Suite 1640, Fort Snelling, MN 55111","1 Federal Drive, Suite 1640",Fort Snelling,MN,44.89410469,-93.19490987,55111,2
team-geocoding,UCHRVIL,Uchicago Medicine Ingalls Memorial,"1 Ingalls Dr, Harvey, IL 60426",1 Ingalls Dr,Harvey,IL,41.60722401,-87.659354,60426,2
team-geocoding,WVWESTR,Western Regional Jail,"1 O'Hanlon Place, Barboursville, WV 25504",1 O'hanlon Place,Barboursville,WV,38.418957,-82.29305146,25504,2
team-geocoding,BAKERFL,Baker County Detention Center,"1 Sheriff's Office Drive, Macclenny, FL 32063",1 Sheriff's Office Drive,Macclenny,FL,30.29585011,-82.12157801,32063,2
team-geocoding,BOPBER,"Federal Correctional Institution - Berlin, NH","1 Success Loop Rd, Berlin, NH 03570",1 Success Loop Rd,Berlin,NH,44.52185389,-71.13753068,3570,2
team-geocoding,MONMONJ,Monmouth County Jail,"1 Waterworks Road, Freehold, NJ 07728",1 Waterworks Road,Freehold,NJ,40.26693384,-74.28671933,7728,2
team-geocoding,NASTRNY,Nassau County ICE Trailer,"100 Carman Avenue, East Meadow, NY 11554",100 Carman Avenue,East Meadow,NY,40.73516338,-73.55269653,11554,2
team-geocoding,NASSANY,Nassau County Correctional Center,"100 Carman Avenue, East Meadow, NY 11554",100 Carman Avenue,East Meadow,NY,40.73516338,-73.55269653,11554,2
team-geocoding,SUFFONY,Suffolk County Correctional Facility,"100 Center Drive, Riverhead, NY 11901",100 Center Drive,Riverhead,NY,40.91445158,-72.67250986,11901,2
team-geocoding,CHMCINY,Courthouse Usm Cntl Islip,"100 Federal Plaza, Central Islip, NY 11722",100 Federal Plaza,Central Islip,NY,40.75988623,-73.1914954,11722,3
hold,CIPHOLD,Central Islip Hold Room,"100 Federal Plaza, Central Islip, NY 11722",100 Federal Plaza,Central Islip,NY,40.75927388,-73.19042741,11722,2
team-geocoding,BFLHPNY,Buffalo General Hospital,"100 High Street, Buffalo, NY 14203",100 High Street,Buffalo,NY,42.90083971,-78.86576317,14203,2
team-geocoding,BAYAMPR,Bayamon Hospital,"100 Laurel Avenue, Bayamon, PR 00956",100 Laurel Avenue,Bayamon,PR,18.36788498,-66.15406202,956,2
team-geocoding,BTSHOMI,Corewell Health Gr Hospital-Butterworth,"100 Michigan St NE, Grand Rapids, MI 49503",100 Michigan St NE,Grand Rapids,MI,42.9701578,-85.66538389,49503,2
hold,GSCHOLD,Glenwood Springs Hold Room,"100 Midland Avenue Suite 210, Glenwood Springs, Co 81601",100 Midland Avenue Suite 210,Glenwood Springs,CO,39.55820977,-107.3583702,81601,2
team-geocoding,CARROMD,Carroll County Detention Center,"100 North Court Street, Westminister, MD 21157",100 North Court Street,Westminister,MD,39.57217427,-76.98695782,21157,2
team-geocoding,CASPSAC,Csp-Sacramento,"100 Prison Road, Represa, CA 95671",100 Prison Road,Represa,CA,38.7034219,-121.1604177,95671,2
team-geocoding,ABRXSPA,Abraxas Academy Detention Center,"1000 Academy Drive, Morgantown, PA 19543",1000 Academy Drive,Morgantown,PA,40.19181355,-75.91580532,19543,2
team-geocoding,BOPPOL,Pollock US Penitentiary,"1000 Airbase Rd, Pollock, LA 71467",1000 Airbase Rd,Pollock,LA,31.46885281,-92.43743997,71467,2
new,CBPORIL,CBP O'Hare Airport Terminal 5 BC Ext,"1000 Bessie Coleman Drive, Chicago, IL 60666",1000 Bessie Coleman Drive,Chicago,IL,41.9747326,-87.89089245,60666,2
team-geocoding,OKDBACK,Diamondback Correctional Facility,"1000 Diamondback Road, Watonga, OK 73772",1000 Diamondback Road,Watonga,OK,35.88435594,-98.39742583,73772,2
team-geocoding,XXDIAMO,Diamondback Correctional Facility,"1000 Diamondback Road, Watonga, OK 73772",1000 Diamondback Road,Watonga,OK,35.88435594,-98.39742583,73772,2
hold,BOSHOLD,Boston Hold Room,"1000 District Avenue, Burlington, Ma 01803",1000 District Avenue,Burlington,MA,42.48263463,-71.20887224,1803,2
team-geocoding,WEBCOTX,Webb County Jail,"1000 San Agustin Ave, Laredo, TX 78040",1000 San Agustin Ave,Laredo,TX,27.50796861,-99.50523886,78040,2
team-geocoding,PHELSMO,Phelps Health Hospital,"1000 W 10th St, Rolla, MO 65401",1000 W 10th St,Rolla,MO,37.952848,-91.78592,65401,2
team-geocoding,WVSCENT,South Central Regional Jail,"1001 Centre Way, Charleston, WV 25309",1001 Centre Way,Charleston,WV,38.31099591,-81.71028615,25309,2
team-geocoding,OGCMCCA,Orange County Global Medical Center,"1001 N Tustin Ave, Santa Ana, CA 92705",1001 N Tustin Ave,Santa Ana,CA,33.75444975,-117.8333278,92705,3
team-geocoding,MWASHVA,Mary Washington Hospital,"1001 Sam Perry Blvd, Fredericksburg, VA 22401",1001 Sam Perry Blvd,Fredericksburg,VA,38.31104067,-77.48360637,22401,2
team-geocoding,RGRNDTX,Rio Grande Processing Center,"1001 San Rio Blvd, Laredo, TX 78046",1001 San Rio Blvd,Laredo,TX,27.37771898,-99.49008,78046,2
team-geocoding,CCAHUTX,T Don Hutto Detention Center,"1001 Welch Street, Taylor, TX 76574",1001 Welch Street,Taylor,TX,30.56495908,-97.41997489,76574,2
team-geocoding,MRYHOMO,Mercy Hospital South,"10010 Kennerly Road, Saint Louis, MO 63128",10010 Kennerly Road,Saint Louis,MO,38.50735372,-90.38026964,63128,2
team-geocoding,FLGLRFL,Flagler County Jail,"1002 Justice Ln, Bunnell, FL 32110",1002 Justice Ln,Bunnell,FL,29.45239462,-81.2561631,32110,2
team-geocoding,ANSGHTX,Anson General Hospital,"101 Avenue J, Anson, TX 79501",101 Avenue J,Anson,TX,32.76791074,-99.89514243,79501,2
hold,CHIHOLD,Chicago Hold Room,"101 Ida B. Wells Drive 4th Floor, Chicago, Il 60605",101 Ida B. Wells Drive 4th Floor,Chicago,IL,41.875346,-87.63100498,60605,2
team-geocoding,BOURBKY,Bourbon County Detention Center,"101 Legion Rd, Paris, KY 40361",101 Legion Rd,Paris,KY,38.22415834,-84.24592753,40361,2
