idnInmate	Strcity	Strcode	Strdescription	datCreatedOn	datModifiedOn	blnActive
1	AGA	GUA	DEPARTMENT OF CORRECTIONS	2003-08-10 11:23:16.927		1
1634	ATL	AIK	AIKEN CORRECTIONAL CENTER                         	2005-03-05 14:50:58.890		1
2	ATL	ALA	KILBY CORRECTIONS FACILITY	2003-08-10 11:23:16.927		1
1635	ATL	ALB	ALBANY TRANSITIONAL CENTER                        	2005-03-05 14:50:58.890		1
1636	ATL	ALD	ALDERSON FEDERAL CORRECTIONAL INSTITUTE           	2005-03-05 14:50:58.890		1
3	ATL	ALL	ALLENDALE CORRECTINAL INSTITUTION	2003-08-10 11:23:16.927		0
1637	ATL	ALW	LFCI ALLENWOOD                                    	2005-03-05 14:50:58.890		1
4	ATL	AND	ANDERSON COUNTY JAIL	2003-08-10 11:23:16.927		1
1638	ATL	ANS	ANSON CORRECTIONAL CENTER                         	2005-03-05 14:50:58.890		1
1639	ATL	ARR	ARRENDALE C.I.,                                   	2005-03-05 14:50:58.890		1
1640	ATL	AUG	AUGUSTA                                           	2005-03-05 14:50:58.890		1
5	ATL	AUT	AUTRY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1641	ATL	BAS	BASKERVILLE CORRECTIONAL UNIT                     	2005-03-05 14:50:58.890		1
6	ATL	BAY	BAYAMON REGIONAL JAIL	2003-08-10 11:23:16.927		1
1642	ATL	BBW	BLACK BLUFF WARDEN                                	2005-03-05 14:50:58.890		1
7	ATL	BCI	BURESS C.I.	2003-08-10 11:23:16.927		0
1643	ATL	BCN	BLANCH YOUTH INSTITUTION                          	2005-03-05 14:50:58.890		1
1644	ATL	BDR	BROAD RIVER CORRECTIONAL INSTITUTION              	2005-03-05 14:50:58.890		1
1645	ATL	BLA	BLAND CORRECTIONAL CENTER                         	2005-03-05 14:50:58.890		1
1646	ATL	BOS	BOSTICK CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
1647	ATL	BOT	BOTECOURT CORRECTIONAL FACILITY                   	2005-03-05 14:50:58.890		1
8	ATL	BRE	BROAD RIVER RECEPTION AND EVALUATION CENTER	2003-08-10 11:23:16.927		0
1648	ATL	BRO	BROWN CREEK CORRECTION CENTER                     	2005-03-05 14:50:58.890		1
1649	ATL	BRS	AL BURRIS CORRECTIONAL INSTITUTION                	2005-03-05 14:50:58.890		1
1650	ATL	BTN	FCI BUTNER                                        	2005-03-05 14:50:58.890		1
1651	ATL	BUC	BUCKINGHAM CORRECTIONAL CENTER                    	2005-03-05 14:50:58.890		1
9	ATL	BUL	BULLOCK COUNTY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1652	ATL	BUR	BURKEVILLE                                        	2005-03-05 14:50:58.890		1
10	ATL	BUT	LSCI BUTNER	2003-08-10 11:23:16.927		0
1653	ATL	BWN	BALDWIN CORRECTIONAL INSTITUTE                    	2005-03-05 14:50:58.890		1
1654	ATL	CAB	CABARRUS CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
11	ATL	CAL	CALEDONIA CORRECTIONAL CORRECTIONS	2003-08-10 11:23:16.927		0
1655	ATL	CAM	C/O SCI CAMP HILL                                 	2005-03-05 14:50:58.890		1
1656	ATL	CAR	CAROLINE CORRECTIONAL UNIT NUMBER TWO             	2005-03-05 14:50:58.890		1
12	ATL	CAS	CASWELL CORR CTR	2003-08-10 11:23:16.927		1
1657	ATL	CAT	CARTERET CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
1658	ATL	CAW	CATAWBA CORRECTIONAL CENTER                       	2005-03-05 14:50:58.890		1
1659	ATL	CCC	COLUMBUS CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
13	ATL	CCI	CENTRAL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
14	ATL	CEP	CENTRAL PRISON	2003-08-10 11:23:16.927		0
15	ATL	CHA	CHARLOTTE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1660	ATL	CHN	CALHOUN CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
16	ATL	CIR	CARROLL C.I.	2003-08-10 11:23:16.927		0
17	ATL	CLA	CLAYTON COUNTY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
18	ATL	COA	COASTAL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
19	ATL	COB	COBB COUNTY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
20	ATL	COL	COLUMBUS CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
21	ATL	CRA	CRAGGY CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1661	ATL	CRE	STATE CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		1
1662	ATL	CRO	CROSS ANCHOR CORR. INST                           	2005-03-05 14:50:58.890		1
1663	ATL	CTF	DC DOC, CORRECTIONAL TREATMENT FACILITY           	2005-03-05 14:50:58.890		1
1664	ATL	CUR	CURRITUK CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
1665	ATL	DAL	C/O WARDEN                                        	2005-03-05 14:50:58.890		1
22	ATL	DAV	DAVIE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
23	ATL	DCH	DUTCHMAN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
24	ATL	DCI	DODGE CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		1
1666	ATL	DCJ	DC DEPARTMENT OF CORRECTIONS                      	2005-03-05 14:50:58.890		1
1667	ATL	DCT	DARE COUNTY DETENTION FACILITY                    	2005-03-05 14:50:58.890		1
1668	ATL	DEE	DEERFIELD CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		1
1669	ATL	DIL	DILLWYN CORRECTIONAL FACILITY                     	2005-03-05 14:50:58.890		1
1670	ATL	DKB	DEKALB COUNTY JAIL                                	2005-03-05 14:50:58.890		1
1671	ATL	DLY	DOOLY CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		1
1672	ATL	DMC	DEEP MEADOW CORRECTIONAL CENTER                   	2005-03-05 14:50:58.890		1
1673	ATL	DOD	DODGE CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		1
1674	ATL	DPN	DUPLIN CORRECTIONAL CENTER                        	2005-03-05 14:50:58.890		1
25	ATL	DPR	DRAPER CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1675	ATL	DRA	DRAPER CORRECTIONAL FACILITY                      	2005-03-05 14:50:58.890		1
1676	ATL	DUR	DURHAM CORRECTIONAL  CENTER                       	2005-03-05 14:50:58.890		1
1677	ATL	EAS	EASTERN CORR. INST..                              	2005-03-05 14:50:58.890		1
1678	ATL	EVA	EVANS CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		1
26	ATL	EVE	EVANS CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
1679	ATL	FCC	FOUNTAIN CORRECTIONAL CENTER FOR WOMEN            	2005-03-05 14:50:58.890		1
27	ATL	FCI	FEDERAL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
28	ATL	FLO	FLOYD COUNTY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
29	ATL	FOO	FOOTHILLS CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
30	ATL	FOR	FORSYTH COUNTY DETENTION CENTER	2003-08-10 11:23:16.927		0
1680	ATL	FOU	FOUNTAIN CORRECTIONAL CENTER FOR WOMEN            	2005-03-05 14:50:58.890		1
31	ATL	FRA	FRANKLIN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1681	ATL	FRN	FRANKLIN CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
1682	ATL	GAT	GATES CORRECTIONAL CENTER                         	2005-03-05 14:50:58.890		1
1683	ATL	GCC	GASTON CORRECTIONAL CENTER                        	2005-03-05 14:50:58.890		1
1684	ATL	GDB	GEORGIA DIAGNOSTIC & CLASSIFICATION CENTER        	2005-03-05 14:50:58.890		1
32	ATL	GDC	GEORGIA DIAGNOSTIC & CLASSIFICATION CENTER	2003-08-10 11:23:16.927		1
