idnBaseCity	BASE_CITY_CODE	BASE_CITY_NAME	BaseAutomated	BASE_ST_ADDRESS	BASE_CITY	BASE_STATE	BASE_ZIP_1	BASE_ZIP_2	BASE_PHONE_NO	strRegion	BaseEoir1Flag	BaseEoir1Code	BaseEoir1Suba	BaseEoir1Subb	BaseEoir1Subc	BaseEoir1Subd	BaseEoir1Sube	BaseEoir1Subf	BaseEoir2Flag	BaseEoir2Code	BaseEoir2Suba	BaseEoir2Subb	BaseEoir2Subc	BaseEoir2Subd	BaseEoir2Sube	BaseEoir2Subf	BaseEoir5Flag	BaseEoir5Code	BaseEoir5Suba	BaseEoir5Subb	BaseEoir5Subc	BaseEoir5Subd	BaseEoir5Sube	BaseEoir5Subf	BaseEoir6Flag	BaseEoir6Code	BaseEoir6Suba	BaseEoir6Subb	BaseEoir6Subc	BaseEoir6Subd	BaseEoir6Sube	BaseEoir6Subf	BaseEoir7Flag	BaseEoir7Code	BaseEoir7Suba	BaseEoir7Subb	BaseEoir7Subc	BaseEoir7Subd	BaseEoir7Sube	BaseEoir7Subf	BaseEoir34Flag	BaseEoir34Code	BaseEoir34Suba	BaseEoir34Subb	BaseEoir34Subc	BaseEoir34Subd	BaseEoir34Sube	BaseEoir34Subf	BaseEoir35Flag	BaseEoir35Code	BaseEoir35Suba	BaseEoir35Subb	BaseEoir35Subc	BaseEoir35Subd	BaseEoir35Sube	BaseEoir35Subf	BaseEoir36Flag	BaseEoir36Code	BaseEoir36Suba	BaseEoir36Subb	BaseEoir36Subc	BaseEoir36Subd	BaseEoir36Sube	BaseEoir36Subf	BaseEoir39Flag	BaseEoir39Code	BaseEoir39Suba	BaseEoir39Subb	BaseEoir39Subc	BaseEoir39Subd	BaseEoir39Sube	BaseEoir39Subf	I122Flag	I122Code	I122Suba	I122Subb	I122Subc	I122Subd	I122Sube	I122Subf	RopDefault	RopPrtClass	BaseSplPrtClass	datCreatedOn	datModifiedOn	blnActive	blnBCIS
2	AGA	IMMIGRATION COURT	M	203 ASPINALL AVENUE	HAGATNA	GU	96910	0	6714727528	Western																																																																																				2004-09-12 23:35:21.247	2020-09-22 17:13:07.000	1	0
3	ATL	IMMIGRATION COURT	M	401 W PEACHTREE ST, STE 2600	ATLANTA	GA	30308	0	4045549400	Eastern																																																																																				2004-09-12 23:35:21.247	2019-09-05 07:36:47.000	1	1
4	BAL	IMMIGRATION COURT	M	31 HOPKINS PLAZA, ROOM 440	BALTIMORE	MD	21201	0	4109623092	Eastern																																																																																				2004-09-12 23:35:21.247	2019-10-02 15:15:54.000	1	1
5	BDC	IMMIGRATION COURT	M	515 11TH ST., WEST SUITE 300	BRADENTON	FL	34205	1111	9417491044	Eastern																																																																																				2004-09-12 23:35:21.247	2007-03-19 14:20:24.000	0	1
6	BIA	BOARD OF IMMIGRATION APPEALS	M	5107 LEESBURG PIKE SUITE 1711	FALLS CHURCH	VA	22041	0	7036051007	Eastern																																																																																				2004-09-12 23:35:21.247	2022-05-26 09:59:36.000	1	0
7	BLM	IMMIGRATION COURT	M	1 FEDERAL DRIVE, SUITE 1850	FORT SNELLING	MN	55111	0	6127253765	Western																																																																																				2004-09-12 23:35:21.247	2021-05-12 21:05:10.000	1	1
8	BOS	IMMIGRATION COURT	M	JFK FEDERAL BLDG., ROOM 320	BOSTON	MA	02203	0	6175653080	Eastern																																																																																				2004-09-12 23:35:21.247	2022-05-26 10:04:48.000	1	1
9	BUF	IMMIGRATION COURT	M	130 DELAWARE AVENUE, SUITE 300	BUFFALO	NY	14202	0	7165513442	Eastern																																																																																				2004-09-12 23:35:21.247	2020-09-16 22:19:06.000	1	1
10	CHI	IMMIGRATION COURT	M	55 E MONROE, SUITE 1500	CHICAGO	IL	60603	0	3122200965	Western																																																																																				2004-09-12 23:35:21.247	2023-07-24 13:25:47.000	1	1
11	CIJ	OFFICE OF THE CHIEF IMMIGRATION JUDGE	M	5107 LEESBURG PK SUITE 2500	FALLS CHURCH	VA	22041	0	7037568002	Eastern																																																																																				2004-09-12 23:35:21.247	2020-05-12 15:33:48.000	0	0
12	DAL	IMMIGRATION COURT	M	1100 COMMERCE ST., SUITE 1060	DALLAS	TX	75242	0000	2147671814	Western																																																																																				2004-09-12 23:35:21.247	2021-05-26 21:03:40.000	1	1
13	DEN	IMMIGRATION COURT	M	1961 STOUT STREET, STE. 3101	DENVER	CO	80294	0	3038445815	Western																																																																																				2004-09-12 23:35:21.247	2014-09-20 12:08:23.000	1	1
14	DET	IMMIGRATION COURT	M	477 MICHIGAN AVENUE, SUITE 440	DETROIT	MI	48226	0	3132262603	Eastern																																																																																				2004-09-12 23:35:21.247	2020-10-21 21:08:49.000	1	1
15	ELO	IMMIGRATION COURT	M	1705 E. HANNA RD.	ELOY	AZ	85131	0	5204663671	Western																																																																																				2004-09-12 23:35:21.247	2020-10-07 22:05:24.000	1	0
16	ELP	IMMIGRATION COURT	M	700 E. SAN ANTONIO, SUITE 750	EL PASO	TX	79901	0	9155346020	Western																																																																																				2004-09-12 23:35:21.247	2020-03-18 15:17:37.000	1	1
17	ELZ	IMMIGRATION COURT	M	625 EVANS STREET   ROOM 148A	ELIZABETH	NJ	07201	0	9087871355	Eastern																																																																																				2004-09-12 23:35:21.247	2023-08-25 09:06:22.000	1	1
18	HAR	IMMIGRATION COURT	M	450 MAIN ST ROOM 628	HARTFORD	CT	06103	3015	8602403881	Eastern																																																																																				2004-09-12 23:35:21.247	2020-09-23 22:10:19.000	1	1
19	HDQ	EOIR - OFFICE OF MANAGEMENT AND ADMINISTRATION	M	5107 LEESBURG PIKE  SUITE 2300	FALLS CHURCH	VA	22041	0	7037568002	Eastern																																																																																				2004-09-12 23:35:21.247	2015-12-28 11:08:41.000	0	0
20	HLG	IMMIGRATION COURT	M	2009 W. JEFFERSON AVE, STE 300	HARLINGEN	TX	78550	0	9564278580	Western																																																																																				2004-09-12 23:35:21.247	2021-04-14 21:06:23.000	1	1
21	HON	IMMIGRATION COURT	M	300 ALA MOANA BLVD. ROOM 8-112	HONOLULU	HI	96850	0	8085411870	Western																																																																																				2004-09-12 23:35:21.247	2020-09-17 09:46:29.000	1	1
22	HOU	IMMIGRATION COURT	M	500 JEFFERSON ST., SUITE 300	HOUSTON	TX	77002	0000	7132864300	Western																																																																																				2004-09-12 23:35:21.247	2024-08-23 10:10:51.000	1	1
23	IMP	IMMIGRATION COURT	M	2409 LA BRUCHERIE ROAD	IMPERIAL	CA	92251	0	7603705200	Western																																																																																				2004-09-12 23:35:21.247	2011-10-07 13:15:35.000	1	1
24	KRO	IMMIGRATION COURT	M	18201 S.W. 12TH ST	MIAMI	FL	33194	0	7864228700	Eastern																																																																																				2004-09-12 23:35:21.247	2021-06-02 21:04:51.000	1	1
25	LAN	IMMIGRATION COURT	M	45100 60TH ST., WEST	LANCASTER	CA	93536	0	6619428633	Western																																																																																				2004-09-12 23:35:21.247	2013-05-13 08:40:52.000	0	1
26	LOS	IMMIGRATION COURT	M	606 SOUTH OLIVE ST.	LOS ANGELES	CA	90014	0	2138942811	Western																																																																																				2004-09-12 23:35:21.247	2023-08-17 16:30:33.000	0	1
27	LVG	IMMIGRATION COURT	M	110 N. CITY PARKWAY, STE. 400	LAS VEGAS	NV	89106	0	7024580227	Western																																																																																				2004-09-12 23:35:21.247	2021-01-06 21:07:50.000	1	0
28	MEM	IMMIGRATION COURT	M	80 MONROE AVE, GARDEN LVL G-10	MEMPHIS	TN	38103	0	9015285883	Eastern																																																																																				2004-09-12 23:35:21.247	2023-04-04 12:19:43.000	1	1
29	MIA	IMMIGRATION COURT	M	333 SOUTH MIAMI AVE., STE. 700	MIAMI	FL	33130	1904	3057894221	Eastern																																																																																				2004-09-12 23:35:21.247	2021-06-23 21:03:53.000	1	1
30	NEW	IMMIGRATION COURT	M	970 BROAD STREET, ROOM 1200	NEWARK	NJ	07102	0	9736453524	Eastern																																																																																				2004-09-12 23:35:21.247	2021-05-17 21:14:26.000	1	1
31	NOL	IMMIGRATION COURT	M	365 CANAL STREET, SUITE 500	NEW ORLEANS	LA	70130	0	5045893992	Eastern																																																																																				2004-09-12 23:35:21.247	2020-09-30 21:19:51.000	1	1
32	NYC	IMMIGRATION COURT	M	26 FEDERAL PLZ 12TH FL RM 1237	NEW YORK	NY	10278	0	2126026500	Eastern																																																																																				2004-09-12 23:35:21.247	2021-10-27 21:06:44.000	1	1
33	NYD	IMMIGRATION COURT	M	201 VARICK ST., ROOM 1140	NEW YORK	NY	10014	0	2126206279	Eastern																																																																																				2004-09-12 23:35:21.247	2021-09-29 21:04:16.000	1	1
34	OAK	IMMIGRATION COURT	M	1900 E. WHATLEY RD. POBOX 750	OAKDALE	LA	71463	0	3183350365	Eastern																																																																																				2004-09-12 23:35:21.247	2020-10-28 21:11:05.000	1	1
35	ORL	IMMIGRATION COURT	M	500 N. Orange Avenue Ste.1100	Orlando	FL	32801	0	4072448900	Eastern																																																																																				2004-09-12 23:35:21.247	2021-02-01 21:08:22.000	1	1
36	PHI	IMMIGRATION COURT	M	900 MARKET STREET, SUITE 504	PHILADELPHIA	PA	19107	0	2156567000	Eastern																																																																																				2004-09-12 23:35:21.247	2012-08-24 09:45:37.000	1	1
37	PHO	IMMIGRATION COURT	M	250 N 7TH AVENUE, SUITE 300	PHOENIX	AZ	85007	0	6026402747	Western																																																																																				2004-09-12 23:35:21.247	2021-05-19 21:08:49.000	1	1
38	PIS	IMMIGRATION COURT	M	27991 BUENA VISTA BLVD	LOS FRESNOS	TX	78566	0	9562545700	Western																																																																																				2004-09-12 23:35:21.247	2025-06-16 10:31:50.000	1	1
39	POO	IMMIGRATION COURT	M	1220 SW 3RD AVENUE, SUITE 500	PORTLAND	OR	97204	0	5033266341	Western																																																																																				2004-09-12 23:35:21.247	2021-04-28 21:04:31.000	1	1
40	SAJ	IMMIGRATION COURT	M	#7 TABONUCO STREET - ROOM 401	GUAYNABO	PR	00968	4605	7877494386	Eastern																																																																																				2004-09-12 23:35:21.247	2023-06-20 11:32:53.000	1	1
41	SEA	IMMIGRATION COURT	M	915 2ND AVENUE, SUITE 613	SEATTLE	WA	98174	0	2063427200	Western																																																																																				2004-09-12 23:35:21.247	2020-11-18 21:45:14.000	1	1
42	SFR	IMMIGRATION COURT	M	100 MONTGOMERY ST., SUITE 800	SAN FRANCISCO	CA	94104	0	4157054415	Western																																																																																				2004-09-12 23:35:21.247	2022-07-29 10:59:25.000	1	1
43	SNA	IMMIGRATION COURT	M	800 DOLOROSA STREET-SUITE 300	SAN ANTONIO	TX	78207	0	2104726637	Western																																																																																				2004-09-12 23:35:21.247	2022-02-27 10:02:59.000	1	1
44	SND	IMMIGRATION COURT	M	880 FRONT STREET, SUITE 4240	SAN DIEGO	CA	92101	7904	6195104500	Western																																																																																				2004-09-12 23:35:21.247	2020-06-22 14:15:25.000	1	1
45	SPD	IMMIGRATION COURT	M	606 South Olive St, 15th Floor	SAN PEDRO	CA	90014	0	2108942811	Western																																																																																				2004-09-12 23:35:21.247	2009-05-30 11:34:05.000	0	1
46	TUC	IMMIGRATION COURT	M	300 W. CONGRESS, SUITE 300	TUCSON	AZ	85701	0	5206705212	Western																																																																																				2004-09-12 23:35:21.247	2021-04-08 21:08:37.000	1	1
47	ULS	IMMIGRATION COURT	M	BERME ROAD  PO BOX 800	NAPANOCH	NY	12458	0	8456472223	Eastern																																																																																				2004-09-12 23:35:21.247	2021-01-06 21:08:38.000	1	1
48	WAS	IMMIGRATION COURT	M	7619 LITTLE RIVER TPK., 4TH FL	ANNANDALE	VA	22003	0	7033434000	Eastern																																																																																				2004-09-12 23:35:21.247	2022-10-03 08:46:28.000	1	1
49	YOR	IMMIGRATION COURT	M	3400 CONCORD ROAD., SUITE 2	YORK	PA	17402	0	7177557555	Eastern																																																																																				2004-09-12 23:35:21.247	2021-07-30 17:04:54.000	0	0
50	SLC	IMMIGRATION COURT	M	2975 S. DECKER LAKE DR., #200	WEST VALLEY	UT	84119	6094	8015243000	Western																																																																																				2006-01-11 11:38:23.000	2020-12-16 21:16:16.000	1	1
53	CLE	IMMIGRATION COURT	M	801 W. SUPERIOR AVE, STE13-100	CLEVELAND	OH	44113	1829	2168021100	Eastern																																																																																				2006-10-20 13:46:09.000	2021-01-13 21:02:32.000	1	1
