NAME,CITY,ST,ZIP,AOR,TYPE,FY07,Max FY07
ELOY FEDERAL CONTRACT FAC,ELOY,AZ,85231,PHO,IGSA,1484,1618
STEWART DETENTION CENTER,LUMPKIN,GA,31815,ATL,IGSA,1205,1624
SOUTH TEXAS DETENTION COMPLEX,PEARSALL,TX,78061,SNA,CDF,1611,1843
NORTHWEST DET. CENTER,TACOMA,WA,98421,SEA,CDF,915,1081
MIRA LOMA DET.CENTER,LANCASTER,CA,93536,LOS,IGSA,971,1054
WILLACY COUNTY DETENTION CENTER,RAYMONDVILLE,TX,78580,SNA,IGSA,1525,2124
HOUSTON CONTRACT DET.FAC.,HOUSTON,TX,77032,HOU,CDF,872,979
PORT ISABEL SPC,LOS FRESNOS,TX,78566,SNA,SPC,963,1179
EL PASO SPC,EL PASO,TX,79925,ELP,SPC,775,919
KROME NORTH SPC,MIAMI,FL,33194,MIA,SPC,672,1008
CORR.CORP OF AMERICA - SAN DIEGO,SAN DIEGO,CA,92173,SND,CDF,751,1017
OAKDALE FED.DET.CENTER,OAKDALE,LA,71463,NOL,BOP,544,819
YORK COUNTY JAIL PA,YORK,PA,17402,PHI,IGSA,607,762
WACKENHUT CORRECTIONS CORP,POMPANO BEACH,FL,33073,MIA,CDF,500,639
ROLLING PLAINS DETENTION CENTER,HASKELL,TX,79521,DAL,IGSA,491,604
TENSAS PARISH DET. CNTR.,WATERPROOF,LA,71357,NOL,IGSA,472,553
SAN PEDRO SPC,SAN PEDRO,CA,90731,LOS,SPC,507,613
FLORENCE SPC,FLORENCE,AZ,85232,PHO,SPC,384,592
PINE PRAIRIE CORRECTIONAL CENTER,PINE PRAIRIE,LA,70576,NOL,IGSA,435,678
BUFFALO SPC,BATAVIA,NY,14020,BUF,SPC,383,441
PERRY COUNTY CORR. CENTER,UNION TOWN,AL,36786,NOL,IGSA,273,535
DENVER CONTRACT DET. FAC.,AURORA,CO,80010,DEN,CDF,395,427
EL CENTRO SPC,EL CENTRO,CA,92243,SND,SPC,454,529
FLORENCE STAGING FACILITY,FLORENCE,AZ,85232,PHO,OTHER,294,631
IES SHELTER,LOS FRESNOS,TX,77586,SNA,ORR,304,390
HUDSON COUNTY JAIL,KEARNEY,NJ,73020,NEW,IGSA,261,360
LOS CUST CASE,SAN PEDRO,CA,90731,LOS,OTHER,161,397
LAREDO CONTRACT DET. FAC.,LAREDO,TX,78042,SNA,IGSA,453,895
ETOWAH COUNTY JAIL (AL),GADSDEN,AL,35901,ATL,IGSA,339,389
PINAL COUNTY JAIL,FLORENCE,AZ,85232,PHO,IGSA,172,358
ELIZABETH CONTRACT D.F.,ELIZABETH,NJ,72010,NEW,CDF,297,322
POLK COUNTY JAIL,LIVINGSTON,TX,77351,HOU,IGSA,189,314
PIEDMONT REG JAIL,FARMVILLE,VA,23901,WAS,IGSA,283,328
BRISTOL CNTY NDARTMOUTH,DARTMOUTH,MA,27480,BOS,IGSA,157,289
SUFFOLK HDC SBAY,BOSTON,MA,21180,BOS,IGSA,252,299
GLADES COUNTY DETENTION CENTER,MOORE HAVEN,FL,33471,MIA,IGSA,45,314
WYATT DETENTION CENTER,CENTRAL FALLS,RI,28630,BOS,IGSA,155,215
ORLEANS PARISH SHERIFF,NEW ORLEANS,LA,70119,NOL,IGSA,61,164
MCHENRY COUNTY SHERIFF'S,WOODSTOCK,IL,60098,CHI,IGSA,217,306
PLYMOUTH COUNTY H.O.C,PLYMOUTH,MA,23600,BOS,IGSA,196,231
MIDDLESEX COUNTY JAIL,BRUNSWICK,NJ,89030,NEW,IGSA,198,238
WACKENHUT FACILITY,SAN ANTONIO,TX,78207,SNA,IGSA,138,190
HUTTO CCA,TAYLOR,TX,76574,SNA,DRO JUV,330,423
TRI-COUNTY JAIL,ULIN,IL,82992,CHI,IGSA,167,219
OTERO COUNTY PRISON FACILITY,CHAPARRAL,NM,88801,ELP,IGSA,290,555
OKLAHOMA COUNTY JAIL,OKLAHOMA CITY,OK,73102,DAL,IGSA,79,116
SANTA CLARA CO MAIN JAIJ,SAN JOSE,CA,95110,SFR,IGSA,218,287
WESTMINSTER CUSTODY,WESTMINSTER,CA,92683,LOS,OTHER,62,168
LACKAWANA CNTY JAIL,SCRANTON,PA,18503,PHI,IGSA,132,167
